,car_name,company,year,kms_driven,fuel_type,Price
0,Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000.0
1,Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000.0
2,Hyundai Grand i10,Hyundai,2014,28000,Petrol,325000.0
3,Ford EcoSport Titanium,Ford,2014,36000,Diesel,575000.0
4,Ford Figo,Ford,2012,41000,Diesel,175000.0
5,Hyundai Eon,Hyundai,2013,25000,Petrol,190000.0
6,Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000.0
7,Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000.0
8,Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000.0
9,Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000.0
10,Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000.0
11,Mahindra Scorpio SLE,Mahindra,2015,48660,Diesel,320000.0
12,Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000.0
13,Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000.0
14,Audi A8,Audi,2017,4000,Petrol,1000000.0
15,Audi Q7,Audi,2014,16934,Diesel,500000.0
16,Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000.0
17,Maruti Suzuki Alto,Maruti,2014,35550,Petrol,160000.0
18,Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000.0
19,Mahindra Scorpio S10,Mahindra,2016,39522,Diesel,310000.0
20,Maruti Suzuki Alto,Maruti,2015,39000,Petrol,75000.0
21,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000.0
22,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000.0
23,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000.0
24,Maruti Suzuki Alto,Maruti,2017,72000,Petrol,190000.0
25,Maruti Suzuki Vitara,Maruti,2016,15975,Diesel,290000.0
26,Maruti Suzuki Alto,Maruti,2008,70000,Petrol,95000.0
27,Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000.0
28,Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000.0
29,Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000.0
30,Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000.0
31,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000.0
32,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000.0
33,Toyota Innova 2.0,Toyota,2012,82000,Diesel,650000.0
34,Renault Lodgy 85,Renault,2018,20000,Diesel,689999.0
35,Skoda Yeti Ambition,Skoda,2012,68000,Diesel,448000.0
36,Maruti Suzuki Baleno,Maruti,2017,32000,Diesel,549000.0
37,Renault Duster 110,Renault,2012,38000,Diesel,501000.0
38,Renault Duster 85,Renault,2013,27000,Diesel,489999.0
39,Honda City 1.5,Honda,2011,33000,Petrol,280000.0
40,Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000.0
41,Maruti Suzuki Dzire,Maruti,2013,46000,Diesel,349999.0
42,Honda Amaze,Honda,2013,46000,Diesel,284999.0
43,Honda Amaze 1.5,Honda,2015,36000,Diesel,345000.0
44,Honda City,Honda,2015,55000,Petrol,499999.0
45,Datsun Redi GO,Datsun,2017,16000,Petrol,235000.0
46,Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999.0
47,Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000.0
48,Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000.0
49,Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000.0
50,Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000.0
51,Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000.0
52,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000.0
53,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000.0
54,Mahindra Scorpio S10,Mahindra,2015,35000,Diesel,395000.0
55,Maruti Suzuki Swift,Maruti,2017,30874,Petrol,220000.0
56,Honda City ZX,Honda,2017,15000,Diesel,170000.0
57,Maruti Suzuki Wagon,Maruti,2013,29685,Petrol,85000.0
58,Ford Figo,Ford,2012,41000,Diesel,175000.0
59,Hyundai Eon,Hyundai,2013,25000,Petrol,190000.0
60,Tata Indigo eCS,Tata,2017,130000,Diesel,200000.0
61,Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000.0
62,Tata Indigo eCS,Tata,2017,130000,Diesel,200000.0
63,Mahindra Scorpio SLE,Mahindra,2012,19000,Diesel,570000.0
64,Volkswagen Polo Highline,Volkswagen,2014,60000,Petrol,315000.0
65,Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000.0
66,Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000.0
67,Chevrolet Spark LS,Chevrolet,2010,41000,Petrol,110000.0
68,Renault Duster 110PS,Renault,2012,35000,Diesel,501000.0
69,Honda City,Honda,2015,54000,Petrol,448999.0
70,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
71,Datsun Redi GO,Datsun,2017,16000,Petrol,235000.0
72,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500.0
73,Honda Amaze,Honda,2015,22000,Petrol,344999.0
74,Honda Amaze,Honda,2015,22000,Petrol,344999.0
75,Renault Duster,Renault,2014,50000,Diesel,449999.0
76,Mini Cooper S,Mini,2013,13500,Petrol,1891111.0
77,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,865000.0
78,Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000.0
79,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000.0
80,Ford EcoSport,Ford,2017,39000,Petrol,489999.0
81,Honda Brio,Honda,2012,30000,Petrol,224999.0
82,Volkswagen Vento Highline,Volkswagen,2019,3600,Diesel,1200000.0
83,Hyundai i20 Magna,Hyundai,2009,32000,Petrol,195000.0
84,Toyota Corolla Altis,Toyota,2010,38000,Diesel,351000.0
85,Hyundai Verna Transform,Hyundai,2008,45000,Petrol,160000.0
86,Toyota Corolla Altis,Toyota,2009,35000,Petrol,240000.0
87,Honda City 1.5,Honda,2005,50000,Petrol,90000.0
88,Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000.0
89,Skoda Fabia 1.2L,Skoda,2011,45863,Diesel,155000.0
90,BMW 3 Series,BMW,2011,60500,Petrol,600000.0
91,Maruti Suzuki A,Maruti,2011,12500,Petrol,189500.0
92,Toyota Etios GD,Toyota,2013,60000,Diesel,350000.0
93,Ford Figo Diesel,Ford,2012,35000,Diesel,210000.0
94,Maruti Suzuki Swift,Maruti,2014,35000,Petrol,390000.0
95,Chevrolet Beat LT,Chevrolet,2012,45000,Diesel,135000.0
96,BMW 7 Series,BMW,2009,35000,Petrol,1600000.0
97,Mahindra XUV500 W8,Mahindra,2013,38000,Diesel,701000.0
98,Hyundai i10 Magna,Hyundai,2014,18000,Petrol,265000.0
99,Hyundai Verna Fluidic,Hyundai,2015,35000,Diesel,525000.0
100,Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000.0
101,Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,635000.0
102,Ford EcoSport Titanium,Ford,2014,44000,Diesel,550000.0
